title,location,responsibilities,ntile10,ntile25,ntile50,ntile75,ntile90
Data Scientist,"Lexington, KY",Create data tools for analytics and data scientist team members that assist them in building and optimizing our product into an innovative industry leader.,96676,108464,121412,134131,145710
Data Scientist,"Henderson, NV",Create data tools for analytics and data scientist team members that assist them in building and optimizing our product into an innovative industry leader.,104458,117195,131185,144927,157438
Data Scientist,"Stockton, CA",Create data tools for analytics and data scientist team members that assist them in building and optimizing our product into an innovative industry leader.,109714,123092,137786,152220,165361
Data Scientist,"Saint Paul, MN",Create data tools for analytics and data scientist team members that assist them in building and optimizing our product into an innovative industry leader.,109375,122712,137361,151750,164850
Data Scientist,"Cincinnati, OH",Create data tools for analytics and data scientist team members that assist them in building and optimizing our product into an innovative industry leader.,100392,112634,126080,139287,151311
Data Scientist,"Pittsburgh, PA",Create data tools for analytics and data scientist team members that assist them in building and optimizing our product into an innovative industry leader.,101121,113452,126995,140298,152410
Data Scientist,"Greensboro, NC",Create data tools for analytics and data scientist team members that assist them in building and optimizing our product into an innovative industry leader.,98112,110076,123216,136123,147874
Data Scientist,"Lincoln, NE",Create data tools for analytics and data scientist team members that assist them in building and optimizing our product into an innovative industry leader.,96592,108370,121307,134014,145583
Data Scientist,"Anchorage, AK",Create data tools for analytics and data scientist team members that assist them in building and optimizing our product into an innovative industry leader.,114180,128103,143395,158416,172091
Data Scientist,"Plano, TX",Create data tools for analytics and data scientist team members that assist them in building and optimizing our product into an innovative industry leader.,101557,113940,127542,140902,153066
Data Scientist,"Orlando, FL",Create data tools for analytics and data scientist team members that assist them in building and optimizing our product into an innovative industry leader.,97662,109570,122650,135498,147195
Data Scientist,"Irvine, CA",Create data tools for analytics and data scientist team members that assist them in building and optimizing our product into an innovative industry leader.,114467,128425,143756,158814,172525
Data Scientist,"Newark, NJ",Create data tools for analytics and data scientist team members that assist them in building and optimizing our product into an innovative industry leader.,117239,131535,147237,162660,176702
Data Scientist,"Durham, NC",Create data tools for analytics and data scientist team members that assist them in building and optimizing our product into an innovative industry leader.,98771,110815,124044,137038,148868
Data Scientist,"Chula Vista, CA",Create data tools for analytics and data scientist team members that assist them in building and optimizing our product into an innovative industry leader.,110788,124297,139135,153710,166979
Data Scientist,"Toledo, OH",Create data tools for analytics and data scientist team members that assist them in building and optimizing our product into an innovative industry leader.,99366,111482,124790,137862,149764
Data Scientist,"Fort Wayne, IN",Create data tools for analytics and data scientist team members that assist them in building and optimizing our product into an innovative industry leader.,95774,107452,120279,132879,144350
Data Scientist,"Laredo, TX",Create data tools for analytics and data scientist team members that assist them in building and optimizing our product into an innovative industry leader.,91502,102659,114914,126952,137911
Data Scientist,"Jersey City, NJ",Create data tools for analytics and data scientist team members that assist them in building and optimizing our product into an innovative industry leader.,123501,138561,155102,171349,186141
Data Scientist,"Chandler, AZ",Create data tools for analytics and data scientist team members that assist them in building and optimizing our product into an innovative industry leader.,101429,113797,127382,140725,152874
Data Scientist,"Madison, WI",Create data tools for analytics and data scientist team members that assist them in building and optimizing our product into an innovative industry leader.,100592,112857,126330,139563,151611
Data Scientist,"Lubbock, TX",Create data tools for analytics and data scientist team members that assist them in building and optimizing our product into an innovative industry leader.,92467,103742,116126,128291,139366
Data Scientist,"Scottsdale, AZ",Create data tools for analytics and data scientist team members that assist them in building and optimizing our product into an innovative industry leader.,101429,113797,127382,140725,152874
Data Scientist,"Reno, NV",Create data tools for analytics and data scientist team members that assist them in building and optimizing our product into an innovative industry leader.,103072,115640,129445,143004,155350
Data Scientist,"Buffalo, NY",Create data tools for analytics and data scientist team members that assist them in building and optimizing our product into an innovative industry leader.,98177,110148,123297,136213,147972
Data Scientist,"Gilbert, AZ",Create data tools for analytics and data scientist team members that assist them in building and optimizing our product into an innovative industry leader.,101429,113797,127382,140725,152874
Data Scientist,"Glendale, AZ",Create data tools for analytics and data scientist team members that assist them in building and optimizing our product into an innovative industry leader.,101414,113780,127363,140704,152851
Data Scientist,"North Las Vegas, NV",Create data tools for analytics and data scientist team members that assist them in building and optimizing our product into an innovative industry leader.,104868,117656,131701,145497,158057
Data Scientist,"Chesapeake, VA",Create data tools for analytics and data scientist team members that assist them in building and optimizing our product into an innovative industry leader.,96543,108315,121245,133945,145509
